Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"unterschiedlicher Intensität","unterschiedlich intensität","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache weit","sprach weit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im heutigen","im heutig","COLLOCATION",0,671,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wurde die","wurd die","COLLOCATION",0,561,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Europäische Patentorganisation","europäisch patentorganisation","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einwohnern Südtirols","einwohnern südtirols","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Websites Deutsch","websites deutsch","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Programm","programm","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"an den","an den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"das Mittelhochdeutsche","das mittelhochdeutsche","COLLOCATION",0,723,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– UEFA","– uefa","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ski –","ski –","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"↑ Peter","↑ peter","COLLOCATION",0,591,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vor Entstehung","vor entstehung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ländern ausserhalb","ländern ausserhalb","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"TVP Opole","tvp opole","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf gut","auf gut","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eine Umerziehung von","eine umerziehung von","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Association","association","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mit selbst","mit selbst","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kolonialdialekte )","kolonialdialekte )","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schulze","schulze","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gebrauch","gebrauch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Urkundensprache","urkundensprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"and Its","and its","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Landes Deutsch","landes deutsch","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"als Minderheiten","als minderheiten","COLLOCATION",0,550,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Teilung Deutschlands","teilung deutschlands","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Ostseeraum","im ostseeraum","COLLOCATION",0,612,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Diese österreichische","dies österreichische","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Europäischen Charta","europäischen charta","COLLOCATION",0,950,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im weiteren","im weiter","COLLOCATION",0,597,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vorgang","vorgang","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schriftsprache","schriftsprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Eine Ausnahme","eine ausnahme","COLLOCATION",0,791,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Jahr 2002","jahr 2002","COLLOCATION",0,972,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Breitenwirkung","breitenwirkung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Jürgen Trabant","jürgen trabant","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein mundartliches","ein mundartliches","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Jahr 2000","jahr 2000","COLLOCATION",0,914,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mitteldeutsch Westmitteldeutsch","mitteldeutsch westmitteldeutsch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der den slawischen","der den slawischen","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Teil III","teil iii","COLLOCATION",0,873,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"oder Minderheitensprachen","oder minderheitensprachen","COLLOCATION",0,537,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Sinn","im sinn","COLLOCATION",0,629,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"hier aber","hi aber","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dialekte zur","dialekt zur","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Präpositionen und","präpositionen und","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bereich ist","bereich ist","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ländern und","ländern und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf mundartliches","auf mundartliches","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Verfremdung","verfremdung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu denen","zu denen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"das Englische","das englische","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom Original","vom original","COLLOCATION",0,808,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache Westgermanisch","sprach westgermanisch","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"um touristisches","um touristisches","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Form des","form des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Patentamt in","patentamt in","COLLOCATION",0,540,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bereich jedoch","bereich jedoch","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Union of","union of","COLLOCATION",0,759,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zahlenmässig bedeutendste","zahlenmässig bedeutendste","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– EHF","– ehf","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"damit an","damit an","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schriftbild","schriftbild","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachvarietät","sprachvarietät","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Tschechischen Republik","tschechischen republik","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mit gemeint","mit gemeint","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus einige","aus einige","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"brasilianischen Gemeinden","brasilianischen gemeinden","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"weite Verbreitung","weite verbreitung","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schweizer","schweizer","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Slowakei","der slowakei","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zur Gegenwart","zur gegenwart","COLLOCATION",0,852,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"§ 184","§ 184","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Atlas Deutsche","atlas deutsche","COLLOCATION",0,613,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und liegt","und liegt","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"neben dem","neben dem","COLLOCATION",0,557,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zeitung ist","zeitung ist","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"105 Millionen","105 millionen","COLLOCATION",0,805,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Süden des","süd des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Internet","internet","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und knapp","und knapp","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"über spricht","über spricht","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und weist","und weist","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ergeben sich","ergeben sich","COLLOCATION",0,774,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache Tok","sprache tok","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"jedoch vor","jedoch vor","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mittellands","mittellands","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bildeten die","bildeten die","COLLOCATION",0,561,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Elsässer sehr","der elsäss sehr","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Februar 1989","februar 1989","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"PDF ;","pdf ;","COLLOCATION",0,835,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Standardsprache","standardsprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Anwendung","anwendung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Linie an","linie an","COLLOCATION",0,614,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"германски (","германски (","COLLOCATION",0,500,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"línguas cooficiais","línguas cooficiais","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und nutzen","und nutzen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"flämische und","flämische und","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach §","nach §","COLLOCATION",0,777,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die deutsche Sprache","die deutsch sprache","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"linguistic purism","linguistic purism","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Lehnwörtern an","lehnwörtern an","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Südgermanische zum","südgermanisch zum","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Elsass","im elsass","COLLOCATION",0,642,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gesellschaft für","gesellschaft für","COLLOCATION",0,650,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"978-3 -11-033871-3","978-3 -11-033871-3","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"in Rumänien","in rumänien","COLLOCATION",0,507,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schrift -","schrift -","COLLOCATION",0,653,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Geschichte des","geschicht des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Französisch Amtssprache","französisch amtssprache","COLLOCATION",0,613,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Landesbezeichnung","landesbezeichnung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"↑ Internetseite","↑ internetseite","COLLOCATION",0,714,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"beiden grössten","beiden grössten","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wohnsitz","wohnsitz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Regional -","regional -","COLLOCATION",0,634,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"so viel","so viel","COLLOCATION",0,985,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 16","am 16","COLLOCATION",0,763,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache verwendet","sprach verwendet","COLLOCATION",0,693,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 18","am 18","COLLOCATION",0,555,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bevölkerungsmischung aufgrund","bevölkerungsmischung aufgrund","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 11","am 11","COLLOCATION",0,772,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Im Mittelalter","im mittelalt","COLLOCATION",0,671,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 12","am 12","COLLOCATION",0,581,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 13","am 13","COLLOCATION",0,761,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"europäischen Ostens","europäischen ostens","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mittelhochdeutsche zurückgeht","mittelhochdeutsche zurückgeht","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zuge der","zug der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zuge des","zug des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Deutsche","deutsche","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Frühneuhochdeutsch","frühneuhochdeutsch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Luxemburger Wort","luxemburger wort","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Football Association","football association","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"existiert neben","existiert neben","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gegensatz zur","gegensatz zur","COLLOCATION",0,778,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eine ihrer","eine ihr","COLLOCATION",0,533,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Eigenständigkeit","eigenständigkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 26","am 26","COLLOCATION",0,733,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gegenstückes","gegenstückes","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ober -","ober -","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 29","am 29","COLLOCATION",0,714,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Buchhandlung","buchhandlung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nationalsozialismus dar","nationalsozialismus dar","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"% aller","% aller","COLLOCATION",0,686,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"4 %","4 %","COLLOCATION",0,645,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zumeist als","zumeist als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sich vor","sich vor","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 22","am 22","COLLOCATION",0,691,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 23","am 23","COLLOCATION",0,714,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ostniederdeutsch Märkisch","ostniederdeutsch märkisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache spricht","sprach spricht","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zusammenarbeit","zusammenarbeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einheitsschreibung","einheitsschreibung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"für das","für das","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Declara Integrante","declara integrante","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"einer Fremdsprache gleichstellt","einer fremdsprach gleichstellt","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nördlich und","nördlich und","COLLOCATION",0,526,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Standarddeutsch","standarddeutsch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Deutschlands","deutschlands","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Es erscheinen","es erscheinen","COLLOCATION",0,728,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zunehmend durch","zunehmend durch","COLLOCATION",0,755,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"-Union –","-union –","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"neben Italienisch","neben italienisch","COLLOCATION",0,940,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Slowakei eine","der slowakei eine","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mennoniten","mennoniten","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"am 31","am 31","COLLOCATION",0,714,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gymnastique –","gymnastique –","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den Subtropen Paraguays","den subtrop paraguays","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gruppen","gruppen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"besonders nördlich","besonders nördlich","COLLOCATION",0,998,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Europäische Weltraumorganisation","europäisch weltraumorganisation","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu halten","zu halten","COLLOCATION",0,786,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"von Amerika","von amerika","COLLOCATION",0,725,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Rechtschreibreformen","rechtschreibreformen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wilhelm Grimm","wilhelm grimm","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nach begann","nach begann","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus heutige","aus heutige","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Census Bureau","census bureau","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dachsprache Deutsch","dachsprache deutsch","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dem Gebiet","dem gebiet","COLLOCATION",0,615,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Landesselbstverwaltung","landesselbstverwaltung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"hochdeutschen Dialekte","hochdeutschen dialekte","COLLOCATION",0,640,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu diese","zu diese","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Alle öffentlichen","alle öffentlichen","COLLOCATION",0,940,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"leben vor","leben vor","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"entfielen auf","entfielen auf","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache ermordet","sprach ermordet","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gymnasialrektor","gymnasialrektor","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zu diesen","zu diesen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Begriff für","begriff für","COLLOCATION",0,533,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"als Dialekt","als dialekt","COLLOCATION",0,509,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Funktionen einer","der funktion einer","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu dieser","zu dieser","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Juras sowie","juras sowie","COLLOCATION",0,940,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Prager Zeitung","prager zeitung","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"kB )","kb )","COLLOCATION",0,546,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Do Estado","do estado","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Basketball","basketball","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"noch erhaltene","noch erhaltene","COLLOCATION",0,935,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"jüngeren Generationen","jüngeren generationen","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"U.S. Census","u.s. census","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wie andere","wi andere","COLLOCATION",0,798,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"entwickelte sich","entwickelte sich","COLLOCATION",0,833,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ostfälisch Westfälisch","ostfälisch westfälisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"10 Millionen","10 millionen","COLLOCATION",0,683,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Einflüsse","einflüsse","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Diese konzentrieren","dies konzentrieren","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dudelange","dudelange","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den vorarlbergischen","den vorarlbergischen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Jahr 2024","jahr 2024","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nordosten der","nordost der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den meistgesprochenen","den meistgesprochenen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"unter Gerichtsverfassungsgesetzes","unter gerichtsverfassungsgesetzes","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"2007 im","2007 im","COLLOCATION",0,529,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"um wollen","um wollen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wo nach","wo nach","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"theodisca lingua","theodisca lingua","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mai 2021","mai 2021","COLLOCATION",0,928,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Küste","der küste","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"cultures d'","cultures d'","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Untergang","untergang","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hermann Niebaum","hermann niebaum","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Vereinten Nationen","vereinten nationen","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und mit","und mit","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und bietet","und bietet","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Existenz","existenz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu bleiben","zu bleiben","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Eidgenossenschaft","eidgenossenschaft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"c d","c d","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kanzleisprache","kanzleisprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dachsprache","dachsprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein überregionales","ein überregionales","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wird allgemein","wird allgemein","COLLOCATION",0,755,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
